camera_exposure_value;camera_gain_value;focus_distance_value;lights;light_mode;result
120;1.0;34;OFF OFF OFF OFF;0;OK
126;1.0;34; ON OFF ON ON;11;OK
124;1.0;34; ON OFF ON ON;11;OK
124;1.0;34; ON OFF ON ON;11;OK
122;1.0;34; ON OFF ON ON;11;OK
108;1.0;34; ON ON OFF ON;13;OK
106;1.0;34; ON ON OFF ON;13;OK
104;1.0;34; ON ON OFF ON;13;OK
102;1.0;34; ON ON OFF ON;13;OK
102;1.0;34; ON ON OFF ON;13;OK
92;1.0;34; ON ON OFF ON;13;OK
94;1.0;34; ON ON OFF ON;13;OK
104;1.0;34; ON ON OFF ON;13;OK
114;1.0;34; ON ON OFF ON;13;OK
126;1.0;34; ON ON OFF ON;13;OK
130;1.0;34; ON ON OFF ON;13;OK
130;1.0;34; ON ON OFF ON;13;OK
148;1.0;34; ON ON ON OFF;14;OK
140;1.0;34; ON ON ON ON;15;OK
124;1.0;34; ON ON ON ON;15;OK
124;1.0;34; ON ON ON ON;15;OK
122;1.0;34; ON ON ON ON;15;OK
122;1.0;34; ON ON ON ON;15;OK
120;1.0;34; ON ON ON ON;15;OK
114;1.0;34; ON ON ON ON;15;OK
104;1.0;34; ON ON ON ON;15;OK
88;1.0;34; OFF OFF OFF ON;1;OK
102;1.0;34; OFF ON OFF ON;5;OK
114;1.0;34; OFF OFF OFF OFF;0;OK
114;1.0;34; OFF ON ON OFF;6;OK
116;1.0;34; OFF ON ON OFF;6;OK
118;1.0;34; OFF ON ON OFF;6;OK
128;1.0;34; OFF OFF OFF OFF;0;OK
130;1.0;34; OFF OFF OFF OFF;0;OK
140;1.0;34; OFF OFF OFF ON;1;OK
136;1.0;34; OFF OFF OFF ON;1;OK
134;1.0;34; OFF OFF OFF ON;1;OK
132;1.0;34; OFF OFF OFF ON;1;OK
132;1.0;34; OFF OFF OFF ON;1;OK
128;1.0;34; ON OFF OFF OFF;8;OK
126;1.0;34; ON OFF OFF ON;9;OK
124;1.0;34; ON OFF OFF ON;9;OK
112;1.0;34; ON OFF ON OFF;10;OK
110;1.0;34; ON OFF ON OFF;10;OK
94;1.0;34; ON OFF ON OFF;10;OK
96;1.0;34; ON OFF ON OFF;10;OK
98;1.0;34; ON ON ON OFF;14;OK
98;1.0;34; ON ON ON OFF;14;OK
98;1.0;34; OFF OFF OFF OFF;0;OK
102;1.0;34; OFF OFF ON ON;3;OK
118;1.0;34; OFF OFF ON ON;3;OK
118;1.0;34; ON OFF OFF OFF;8;OK
120;1.0;34; ON OFF OFF OFF;8;OK
122;1.0;34; ON OFF OFF ON;9;OK
130;1.0;34; ON OFF OFF ON;9;OK
140;1.0;34; ON OFF ON OFF;10;OK
138;1.0;34; ON OFF ON OFF;10;OK
136;1.0;34; ON OFF ON OFF;10;OK
118;1.0;34; ON ON OFF ON;13;OK
114;1.0;34; ON ON OFF ON;13;OK
96;1.0;34; ON ON OFF ON;13;OK
94;1.0;34; ON ON ON OFF;14;OK
94;1.0;34; ON ON ON OFF;14;OK
96;1.0;34; ON ON ON OFF;14;OK
98;1.0;34; ON ON ON OFF;14;OK
106;1.0;34; ON ON ON ON;15;OK
110;1.0;34; ON ON ON ON;15;OK
110;1.0;34; ON ON ON ON;15;OK
112;1.0;34; ON ON ON ON;15;OK
112;1.0;34; ON ON ON ON;15;OK
114;1.0;34; ON ON ON ON;15;OK
114;1.0;34; ON ON ON ON;15;OK
116;1.0;34; ON ON ON ON;15;OK
118;1.0;34; ON ON ON ON;15;OK
120;1.0;34; ON ON ON ON;15;OK
130;1.0;34; OFF ON OFF OFF;4;OK
134;1.0;34; OFF ON OFF OFF;4;OK
134;1.0;34; OFF ON OFF OFF;4;OK
132;1.0;34; OFF ON OFF ON;5;OK
130;1.0;34; OFF ON OFF ON;5;OK
120;1.0;34; OFF ON ON OFF;6;OK
110;1.0;34; OFF ON ON ON;7;OK
110;1.0;34; OFF ON ON ON;7;OK
94;1.0;34; OFF ON ON ON;7;OK
94;1.0;34; OFF ON ON ON;7;OK
108;1.0;34; ON ON ON OFF;14;OK
110;1.0;34; ON ON ON OFF;14;OK
112;1.0;34; ON ON ON OFF;14;OK
114;1.0;34; ON ON ON OFF;14;OK
116;1.0;34; ON ON ON OFF;14;OK
118;1.0;34; ON ON ON OFF;14;OK
120;1.0;34; ON ON ON OFF;14;OK
122;1.0;34; ON ON ON OFF;14;OK
134;1.0;34; ON ON ON OFF;14;OK
132;1.0;34; ON ON ON OFF;14;OK
126;1.0;34; ON ON ON OFF;14;OK
116;1.0;34; ON ON ON ON;15;OK
114;1.0;34; ON ON ON ON;15;OK
114;1.0;34; ON ON ON ON;15;OK
106;1.0;34; OFF OFF OFF OFF;0;OK
88;1.0;34; OFF OFF OFF OFF;0;OK
88;1.0;34; ON OFF ON ON;11;OK
88;1.0;34; ON ON ON ON;15;OK
90;1.0;34; ON ON ON ON;15;OK
96;1.0;34; OFF OFF OFF OFF;0;OK
98;1.0;34; OFF OFF ON OFF;2;OK
98;1.0;34; OFF ON OFF ON;5;OK
100;1.0;34; OFF ON ON OFF;6;OK
106;1.0;34; OFF ON OFF ON;5;OK
122;1.0;34; OFF ON ON ON;7;OK
124;1.0;34; OFF ON ON ON;7;OK
128;1.0;34; OFF ON ON ON;7;OK
132;1.0;34; ON ON ON ON;0;OK
128;1.0;34; ON ON ON ON;0;OK
122;1.0;34; ON ON ON ON;0;OK
120;1.0;34; ON ON ON ON;0;OK
118;1.0;34; ON ON ON ON;0;OK
116;1.0;34; ON ON ON ON;0;OK
110;1.0;34; ON ON ON ON;0;OK
108;1.0;34; ON ON ON ON;0;OK
104;1.0;34; ON ON ON ON;0;OK
100;1.0;34; ON ON ON ON;0;OK
100;1.0;34; ON ON ON ON;0;OK
92;1.0;34; OFF OFF OFF ON;6;OK
108;1.0;34; ON ON ON ON;6;OK
116;1.0;34; ON ON ON OFF;8;OK
118;1.0;34; ON ON ON ON;8;OK
118;1.0;34; ON ON ON ON;8;OK
122;1.0;34; ON ON ON ON;8;OK
138;1.0;34; OFF ON ON OFF;12;OK
134;1.0;34; ON ON ON ON;12;OK
134;1.0;34; ON ON ON ON;12;OK
130;1.0;34; ON ON ON ON;12;OK
124;1.0;34; OFF OFF OFF OFF;13;OK
108;1.0;34; ON ON ON ON;13;OK
106;1.0;34; ON ON ON ON;13;OK
132;1.0;34; ON ON ON ON;0;OK
120;1.0;34; ON ON ON ON;0;OK
112;1.0;34; OFF OFF OFF OFF;1;OK
116;1.0;34; ON ON ON ON;1;OK
118;1.0;34; ON ON ON ON;1;OK
118;1.0;34; ON ON ON ON;1;OK
118;1.0;34; ON ON ON ON;1;OK
118;1.0;34; OFF OFF OFF OFF;2;OK
114;1.0;34; ON ON ON ON;2;OK
106;1.0;34; ON ON ON ON;2;OK
104;1.0;34; ON ON ON ON;2;OK
100;1.0;34; ON ON ON ON;2;OK
96;1.0;34; ON ON ON ON;2;OK
92;1.0;34; ON ON ON ON;2;OK
96;1.0;34; ON ON ON ON;2;OK
100;1.0;34; ON ON ON ON;2;OK
104;1.0;34; ON ON ON ON;2;OK
108;1.0;34; ON ON ON ON;2;OK
112;1.0;34; ON ON ON ON;2;OK
112;1.0;34; OFF OFF OFF ON;7;OK
112;1.0;34; OFF ON ON ON;13;OK
112;1.0;34; OFF OFF OFF ON;2;OK
116;1.0;34; ON ON ON ON;2;OK
116;1.0;34; ON ON ON ON;2;OK
112;1.0;34; OFF OFF OFF OFF;3;OK
116;1.0;34; ON ON ON ON;3;OK
120;1.0;34; ON ON ON ON;3;OK
116;1.0;34; ON ON ON ON;3;OK
118;1.0;34; ON ON ON ON;3;OK
116;1.0;34; ON ON ON ON;3;OK
118;1.0;34; ON ON ON ON;3;OK
116;1.0;34; ON ON ON ON;3;OK
118;1.0;34; ON ON ON ON;3;OK
118;1.0;34; ON ON ON ON;3;OK
116;1.0;34; ON ON ON ON;3;OK
116;1.0;34; OFF OFF OFF OFF;4;OK
118;1.0;34; ON ON ON ON;4;OK
118;1.0;34; ON ON ON ON;4;OK
116;1.0;34; ON ON ON ON;4;OK
120;1.0;34; ON ON ON ON;4;OK
118;1.0;34; ON ON ON ON;4;OK
120;1.0;34; ON ON ON ON;4;OK
120;1.0;34; ON ON ON ON;4;OK
120;1.0;34; ON ON ON ON;4;OK
118;1.0;34; ON ON ON ON;4;OK
118;1.0;34; ON ON ON ON;4;OK
128;1.0;34; OFF ON ON OFF;8;OK
122;1.0;34; ON ON ON ON;8;OK
112;1.0;34; ON ON ON ON;8;OK
118;1.0;34; ON ON ON ON;8;OK
118;1.0;34; ON ON ON ON;8;OK
118;1.0;34; ON ON ON ON;8;OK
118;1.0;34; ON ON ON ON;8;OK
118;1.0;34; OFF OFF OFF OFF;9;OK
118;1.0;34; ON ON ON ON;9;OK
118;1.0;34; ON ON ON ON;9;OK
118;1.0;34; ON ON ON ON;9;OK
118;1.0;34; ON ON ON ON;9;OK
118;1.0;34; ON ON ON ON;9;OK
118;1.0;34; ON ON ON ON;9;OK
118;1.0;34; ON ON ON ON;9;OK
118;1.0;34; ON OFF ON ON;13;OK
118;1.0;34; ON ON ON ON;13;OK
118;1.0;34; OFF ON OFF ON;15;OK
118;1.0;34; ON ON ON ON;15;OK
118;1.0;34; ON ON ON ON;15;OK
118;1.0;34; ON ON ON ON;15;OK
118;1.0;34; ON OFF OFF OFF;2;OK
