camera_exposure_value;camera_gain_value;focus_distance_value;lights;light_mode;result
380;1.0;50;OFF OFF OFF OFF;15;OK
350;1.0;55; ON OFF ON ON;11;OK
500;1.0;45; ON OFF ON ON;11;OK
438;1.0;50; ON OFF ON ON;11;OK
343;1.0;43; ON OFF ON ON;11;OK
345;1.0;34; ON ON ON ON;15;OK
345;1.0;34; OFF OFF OFF OFF;15;OK
345;1.0;34; OFF OFF OFF OFF;15;OK
345;1.0;34; OFF OFF OFF OFF;15;OK
345;1.0;34; ON OFF ON ON;15;OK
345;1.0;34; OFF OFF OFF OFF;15;OK
345;1.0;34; OFF OFF OFF OFF;15;OK
347;1.0;34; OFF OFF OFF OFF;15;OK
497;1.0;34; ON OFF ON ON;1;OK
388;1.0;34; ON OFF ON ON;2;OK
388;1.0;34; ON OFF ON ON;2;OK
424;1.0;34; OFF OFF OFF ON;2;OK
401;1.0;34; OFF OFF OFF ON;3;OK
485;1.0;34; OFF OFF ON ON;3;OK
485;1.0;34; OFF OFF ON ON;3;OK
485;1.0;34; OFF OFF ON ON;3;OK
466;1.0;34; OFF OFF OFF ON;4;OK
359;1.0;34; ON OFF ON ON;4;OK
359;1.0;34; OFF OFF ON ON;4;OK
359;1.0;34; OFF ON OFF OFF;4;OK
472;1.0;34; OFF OFF OFF OFF;4;OK
472;1.0;34; OFF OFF OFF ON;4;OK
393;1.0;34; OFF OFF OFF ON;8;OK
379;1.0;34; OFF OFF ON OFF;8;OK
338;1.0;34; OFF OFF OFF ON;8;OK
380;1.0;34; ON OFF OFF OFF;8;OK
430;1.0;34; ON OFF ON ON;8;OK
343;1.0;34; ON OFF ON ON;12;OK
476;1.0;34; OFF ON OFF OFF;12;OK
364;1.0;34; OFF OFF ON OFF;15;OK
400;1.0;34; ON OFF ON ON;1;OK
360;1.0;60; OFF ON OFF OFF;1;OK
360;1.0;60; OFF OFF ON OFF;1;OK
367;1.0;42; OFF OFF OFF ON;3;OK
371;1.0;79; OFF OFF OFF ON;3;OK
371;1.0;79; OFF OFF OFF ON;3;OK
471;1.0;47; ON OFF OFF OFF;5;OK
401;1.0;70; OFF OFF ON ON;5;OK
455;1.0;42; ON OFF OFF OFF;12;OK
383;1.0;54; OFF ON OFF ON;7;OK
383;1.0;54; ON OFF ON ON;7;OK
383;1.0;54; OFF OFF ON ON;7;OK
401;1.0;76; OFF OFF OFF ON;8;OK
